episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
272,-1.1383905539110817,0.59999996,38.445396,20.034935,17.833807
273,-1.1459030021970378,0.59999996,38.04328,19.870071,17.592688
274,-0.8987845479029222,38.48491,0.59999996,19.958979,18.448952
275,-0.3439447613479931,32.210716,27.789282,19.675371,18.150827
276,-0.6291555216693698,34.76466,0.59999996,22.199339,19.02818
277,-0.9460292457484911,0.59999996,0.59999996,25.663715,19.134909
278,-1.1617726178768866,53.44748,0.59999996,24.548002,18.924437
279,-0.5613276689286395,35.492954,0.59999996,24.787613,18.484007
280,-0.6597697471977018,11.739185,36.45334,23.814644,17.950747
281,-0.6205979372093058,10.879738,0.59999996,24.600418,16.866879
282,-0.9401487078030506,0.59999996,0.59999996,24.444063,16.54523
283,-0.9442206091799736,0.59999996,0.59999996,24.829477,18.499998
284,-0.9454001982626359,0.59999996,0.59999996,24.47769,19.439856
285,-0.5095475607059576,30.070127,0.59999996,23.334415,18.378038
286,-8.028602096248685,20.102974,39.89703,24.199532,18.165718
287,-2.0100815013073614,6.5146756,53.485325,25.160475,18.681213
288,-2.3865084610585043,0.5942035,59.405796,24.25097,20.104536
289,-0.9465240732266782,0.59999996,0.59999996,24.988535,19.861324
290,-2.356745529359978,0.59999996,57.823174,25.245817,19.673164
291,-0.9464912707313946,0.59999996,0.59999996,24.974157,19.848228
292,-0.8817951743298256,2.3280156,0.59999996,25.309526,19.397568
293,-2.6181032661300083,0.59999996,57.683155,25.62104,18.792858
294,-0.9456524800158466,0.59999996,0.59999996,25.63327,18.917082
295,-0.8218800432874591,44.916027,0.59999996,24.388548,18.249624
296,-0.9381202894182543,0.59999996,0.59999996,20.642431,17.747696
297,-3.6793482715423025,0.59999996,58.871002,20.260963,16.662285
298,-24.63115810383905,10.416007,49.583996,20.333113,16.207893
299,-0.9352188408476554,0.59999996,0.59999996,20.062395,16.681257
300,-1.0803930586440718,42.957657,0.59999996,20.372412,17.277086
301,-0.9358433753163844,0.59999996,0.59999996,19.524109,17.395136
302,-1.2123859788012012,44.263397,1.6346481,19.550766,18.043318
303,-1.0175696206950802,15.1087885,44.89121,19.386518,18.63158
304,-2.6686957473849375,0.59999996,59.0581,18.864744,19.065666
305,-1.1560896340940445,40.76356,0.59999996,18.767752,19.2375
306,-1.762292107507065,48.103264,0.59999996,18.440552,18.779997
307,-0.5497695593137526,0.59999996,11.198633,18.952108,18.736565
308,-2.826143401254031,0.59999996,57.339745,19.961205,18.08483
309,-0.6455636606401427,21.307375,38.228344,20.032434,17.909792
310,-2.5721568910662995,0.59999996,53.945072,20.240992,17.686598
311,-0.9346396227021447,0.59999996,0.59999996,19.747274,16.625475
312,-0.48304622845761813,18.428799,0.59999996,20.735933,25.621693
313,-0.2231317874023776,17.730492,42.26951,20.716576,25.58232
314,-0.9488037174286781,0.59999996,0.59999996,21.393368,25.181133
315,-0.9486534734761136,0.59999996,0.59999996,21.10227,25.427874
316,-0.9737122041460466,0.59999996,50.993378,21.14509,25.475245
317,-0.48260391820007265,18.467379,0.59999996,20.704817,25.519594
318,-0.48256815410142373,18.650442,0.59999996,20.893408,25.565052
319,-0.9477228523624674,0.59999996,0.59999996,20.500698,25.295761
320,-0.9473443082636042,0.59999996,0.59999996,20.235826,25.288376
321,-0.9461617630380292,0.59999996,0.59999996,19.730772,24.810207
322,-0.946144781082161,0.59999996,0.59999996,19.688583,24.858805
323,-0.2219566710510713,7.0919175,19.223362,19.000177,24.838404
324,-1.433743504162516,0.59635967,59.40364,18.359446,24.85771
325,-0.9435111065527977,0.59999996,0.59999996,17.988316,25.023361
326,-0.5899740372928264,9.70531,0.59999996,18.535181,25.231571
327,-0.46618411674280935,29.031364,2.477913,21.678581,25.828579
328,-1.1892792488210162,0.59999996,56.30449,26.136305,25.671228
329,-0.5027143517745927,0.59999996,19.154404,19.819847,25.712822
330,-0.6190626257210443,0.59999996,39.734146,19.467218,25.69059
331,-0.10485006803502117,24.555845,35.444153,19.982937,25.377958
332,-0.9478038863522631,0.59999996,0.59999996,20.338617,25.636036
333,-0.16921608299701862,28.707766,15.471965,20.043156,25.334612
334,-0.5292028426446014,0.59999996,16.967682,20.531204,25.73148
335,-0.9043774886039593,40.80153,0.59999996,21.201052,25.80932
336,-0.09463585635987759,28.88921,31.110788,20.955446,25.619947
337,-0.8754967094055264,2.1958668,0.59999996,20.537788,25.44676
338,-0.9475393248394841,0.59999996,0.59999996,20.420559,25.217287
339,-1.421293744251928,0.59999996,59.25654,20.512087,24.913515
340,-0.9463387782380028,0.59999996,0.59999996,19.820625,24.855843
341,-0.9465054545477329,0.59999996,0.59999996,19.892937,24.91929
342,-0.5151339777535822,0.59999996,17.328426,19.56663,24.793581
343,-0.17003258007740385,20.463974,39.536026,19.784218,24.988987
344,-1.4219150737850317,0.5955749,59.404427,19.702492,24.963745
345,-0.9465356617852141,0.59999996,0.59999996,19.87862,24.973724
346,-0.5398058707346736,0.59999996,15.777211,19.459734,25.22749
347,-0.15510956370385465,10.357214,30.6847,21.496962,25.48196
348,-0.7354146537627404,34.6246,0.59999996,20.143423,25.787483
349,-0.014840998587628135,18.023003,21.936028,19.633713,25.852665
350,-0.9479645813493747,0.59999996,0.59999996,20.381487,25.749197
351,-0.8197461023830517,0.59999996,4.3463516,22.459656,25.86963
352,-0.9489361716822504,0.59999996,0.59999996,20.974321,25.935677
353,-0.9495541135564469,0.59999996,0.59999996,21.535023,25.814766
354,-0.9891600171535675,41.93233,0.59999996,20.842,25.982433
355,-0.6448165114263027,9.226369,0.59999996,21.913538,26.031189
356,-0.12692127234116957,21.231234,38.76877,21.953571,25.798508
357,-0.6043851816972978,31.831757,0.59999996,21.159462,25.998856
358,-0.9485941703886613,0.59999996,0.59999996,20.676012,26.003428
359,-0.9479086927973768,0.59999996,0.59999996,20.157763,26.048096
360,-0.10924630997974738,23.602316,36.397682,19.631804,25.60671
361,-0.5939533097571084,9.766286,0.59999996,18.928942,25.556864
362,-0.9430862582573845,0.59999996,0.59999996,17.539938,25.45727
363,-0.22756800761122392,17.677366,42.322636,18.288502,25.285215
364,-0.7146214406297453,28.408138,0.59999996,16.810616,25.387308
365,-0.875778623633197,36.190273,10.370114,16.531086,24.73642
366,-0.9414078695071897,0.59999996,0.59999996,17.13512,24.500593
367,-0.7482102231851862,4.803261,0.59999996,18.2734,25.249126
368,-1.3041162715194772,25.147915,34.85209,19.37664,25.159855
369,-0.8678317599435506,0.59999996,2.7263472,19.241026,25.427822
370,-0.9148846157834161,0.59999996,50.174976,19.597301,25.81771
371,-0.7275908172366048,33.300613,0.59999996,19.492836,25.458548
372,-0.5982955082647767,10.070341,0.59999996,19.855232,25.629868
373,-0.9484651963770787,0.59999996,0.59999996,21.006966,25.358572
374,-0.9483470901309126,0.59999996,0.59999996,20.652666,25.757423
375,-0.7442272207275895,0.59999996,44.972355,21.650541,25.891394
376,-1.2546467942142687,0.59999996,58.194687,21.125353,25.851484
377,-0.9482644607305879,0.59999996,0.59999996,20.849276,25.368591
378,-15.544799868542027,0.59638596,59.403618,20.935192,25.043276
379,-0.6597153329252343,33.309113,0.59999996,20.74964,25.260492
380,-0.48169305677241614,0.59999996,21.481924,20.074768,25.249954
381,-1.297810450546912,0.59999996,57.13186,19.549458,24.98244
382,-2.047768941979742,53.543606,0.59999996,19.30947,24.850292
383,-1.3387132470697782,0.59999996,58.062557,18.379524,25.030025
384,-0.9332581633257497,0.59999996,0.59999996,17.517557,17.834366
385,-0.6303920235446672,28.689049,31.310953,16.426733,17.028158
386,-7.934273859099953,22.769253,37.23075,15.725858,17.607792
387,-2.5234965633170887,0.59582937,59.40417,17.416275,19.615953
388,-0.93593992013591,0.59999996,0.59999996,17.727251,19.184221
389,-0.9391672732423331,0.59999996,0.59999996,18.838398,20.041283
390,-0.9383571064089047,0.59999996,0.59999996,18.776922,19.563322
